2025-08-26 12:34:36.575 INFO  [http-nio-8080-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-26 12:34:36.578 INFO  [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-08-26 12:34:36.582 INFO  [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2025-08-26 12:34:36.586 INFO  [http-nio-8080-exec-2] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution Start
2025-08-26 12:34:36.586 INFO  [http-nio-8080-exec-2] c.farmflow.config.security.JwtFilter - Message :/api/v1/auth
2025-08-26 12:34:36.588 INFO  [http-nio-8080-exec-2] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution End
2025-08-26 12:34:36.611 WARN  [http-nio-8080-exec-2] com.farmflow.util.CommonUtil - No authenticated user found, returning null.
2025-08-26 12:34:36.611 WARN  [http-nio-8080-exec-2] com.farmflow.aspect.LoggingAspect - No authenticated user found, falling back to anonymous.
2025-08-26 12:34:36.617 INFO  [http-nio-8080-exec-2] com.farmflow.aspect.LoggingAspect - [2025-08-26 12:34:36] [req-11153635805709-3823] [anonymous] [AuthController.create()] Entering method - Args: [UserDTO(id=0, name=User_789840, email=user789840@example.com, password=password, phone=9000789840, image=null)]
2025-08-26 12:34:36.618 WARN  [http-nio-8080-exec-2] com.farmflow.util.CommonUtil - No authenticated user found, returning null.
2025-08-26 12:34:36.618 WARN  [http-nio-8080-exec-2] com.farmflow.aspect.LoggingAspect - No authenticated user found, falling back to anonymous.
2025-08-26 12:34:36.618 INFO  [http-nio-8080-exec-2] com.farmflow.aspect.LoggingAspect - [2025-08-26 12:34:36] [req-11153635805709-3823] [anonymous] [AuthServiceImpl.createUser()] Entering method - Args: [UserDTO(id=0, name=User_789840, email=user789840@example.com, password=password, phone=9000789840, image=null)]
2025-08-26 12:34:36.903 INFO  [http-nio-8080-exec-2] c.farmflow.config.AuditAwareConfig - AuditAwareConfig : getCurrentAuditor()
2025-08-26 12:34:36.947 INFO  [http-nio-8080-exec-2] com.farmflow.aspect.LoggingAspect - [2025-08-26 12:34:36] [req-11153635805709-3823] [anonymous] [AuthServiceImpl.createUser()] Exiting method - Duration: 328 ms, Result: UserDTO(id=42, name=User_789840, email=user789840@example.com, password=$2a$10$6nsJq7XkoTNmKF.qlqo0I.lRvRHxlQENYqkkOQQRfEGrTO/8YR.Ya, phone=9000789840, image=null)
2025-08-26 12:34:36.950 INFO  [http-nio-8080-exec-2] com.farmflow.aspect.LoggingAspect - [2025-08-26 12:34:36] [req-11153635805709-3823] [anonymous] [AuthController.create()] Exiting method - Duration: 332 ms, Result: <201 CREATED Created,{timestamp=2025-08-26T12:34:36.949881970, status=success, message=Operation Success, data=UserDTO(id=42, name=User_789840, email=user789840@example.com, password=$2a$10$6nsJq7XkoTNmKF.qlqo0I.lRvRHxlQENYqkkOQQRfEGrTO/8YR.Ya, phone=9000789840, image=null)},[]>
