2025-08-26 12:38:00.100 INFO  [http-nio-8080-exec-4] c.farmflow.config.AuditAwareConfig - AuditAwareConfig : getCurrentAuditor()
2025-08-26 12:38:00.122 INFO  [http-nio-8080-exec-4] com.farmflow.aspect.LoggingAspect - [2025-08-26 12:37:59] [req-11356938653081-4251] [anonymous] [AuthServiceImpl.createUser()] Exiting method - Duration: 211 ms, Result: UserDTO(id=51, name=User_905377, email=user905377@example.com, password=$2a$10$RoCkOQbsHsyBEyd3sionKeeN5cBMfxh9gECl1E4dSDxMKpU9g537e, phone=9000905377, image=null)
2025-08-26 12:38:00.122 INFO  [http-nio-8080-exec-4] com.farmflow.aspect.LoggingAspect - [2025-08-26 12:37:59] [req-11356938653081-4251] [anonymous] [AuthController.create()] Exiting method - Duration: 211 ms, Result: <201 CREATED Created,{timestamp=2025-08-26T12:38:00.122696463, status=success, message=Operation Success, data=UserDTO(id=51, name=User_905377, email=user905377@example.com, password=$2a$10$RoCkOQbsHsyBEyd3sionKeeN5cBMfxh9gECl1E4dSDxMKpU9g537e, phone=9000905377, image=null)},[]>
2025-08-26 12:38:00.150 INFO  [http-nio-8080-exec-5] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution Start
2025-08-26 12:38:00.151 INFO  [http-nio-8080-exec-5] c.farmflow.config.security.JwtFilter - Message :/api/v1/auth
2025-08-26 12:38:00.151 INFO  [http-nio-8080-exec-5] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution End
2025-08-26 12:38:00.154 WARN  [http-nio-8080-exec-5] com.farmflow.util.CommonUtil - No authenticated user found, returning null.
2025-08-26 12:38:00.154 WARN  [http-nio-8080-exec-5] com.farmflow.aspect.LoggingAspect - No authenticated user found, falling back to anonymous.
2025-08-26 12:38:00.154 INFO  [http-nio-8080-exec-5] com.farmflow.aspect.LoggingAspect - [2025-08-26 12:38:00] [req-11357181777628-9845] [anonymous] [AuthController.create()] Entering method - Args: [UserDTO(id=0, name=User_961144, email=user961144@example.com, password=password, phone=9000961144, image=null)]
2025-08-26 12:38:00.154 WARN  [http-nio-8080-exec-5] com.farmflow.util.CommonUtil - No authenticated user found, returning null.
2025-08-26 12:38:00.154 WARN  [http-nio-8080-exec-5] com.farmflow.aspect.LoggingAspect - No authenticated user found, falling back to anonymous.
2025-08-26 12:38:00.154 INFO  [http-nio-8080-exec-5] com.farmflow.aspect.LoggingAspect - [2025-08-26 12:38:00] [req-11357181777628-9845] [anonymous] [AuthServiceImpl.createUser()] Entering method - Args: [UserDTO(id=0, name=User_961144, email=user961144@example.com, password=password, phone=9000961144, image=null)]
2025-08-26 12:38:00.324 INFO  [http-nio-8080-exec-5] c.farmflow.config.AuditAwareConfig - AuditAwareConfig : getCurrentAuditor()
2025-08-26 12:38:00.348 INFO  [http-nio-8080-exec-5] com.farmflow.aspect.LoggingAspect - [2025-08-26 12:38:00] [req-11357181777628-9845] [anonymous] [AuthServiceImpl.createUser()] Exiting method - Duration: 194 ms, Result: UserDTO(id=52, name=User_961144, email=user961144@example.com, password=$2a$10$LtIOJ3dBY91FoDmnOxLq4up7DoL3ulbV1mmzhcu.3xogs.O1PKr8m, phone=9000961144, image=null)
2025-08-26 12:38:00.348 INFO  [http-nio-8080-exec-5] com.farmflow.aspect.LoggingAspect - [2025-08-26 12:38:00] [req-11357181777628-9845] [anonymous] [AuthController.create()] Exiting method - Duration: 194 ms, Result: <201 CREATED Created,{timestamp=2025-08-26T12:38:00.348776487, status=success, message=Operation Success, data=UserDTO(id=52, name=User_961144, email=user961144@example.com, password=$2a$10$LtIOJ3dBY91FoDmnOxLq4up7DoL3ulbV1mmzhcu.3xogs.O1PKr8m, phone=9000961144, image=null)},[]>
2025-08-26 12:38:00.383 INFO  [http-nio-8080-exec-6] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution Start
2025-08-26 12:38:00.383 INFO  [http-nio-8080-exec-6] c.farmflow.config.security.JwtFilter - Message :/api/v1/auth
2025-08-26 12:38:00.384 INFO  [http-nio-8080-exec-6] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution End
2025-08-26 12:38:00.386 WARN  [http-nio-8080-exec-6] com.farmflow.util.CommonUtil - No authenticated user found, returning null.
2025-08-26 12:38:00.388 WARN  [http-nio-8080-exec-6] com.farmflow.aspect.LoggingAspect - No authenticated user found, falling back to anonymous.
2025-08-26 12:38:00.388 INFO  [http-nio-8080-exec-6] com.farmflow.aspect.LoggingAspect - [2025-08-26 12:38:00] [req-11357414175788-515] [anonymous] [AuthController.create()] Entering method - Args: [UserDTO(id=0, name=User_983723, email=user983723@example.com, password=password, phone=9000983723, image=null)]
2025-08-26 12:38:00.389 WARN  [http-nio-8080-exec-6] com.farmflow.util.CommonUtil - No authenticated user found, returning null.
2025-08-26 12:38:00.389 WARN  [http-nio-8080-exec-6] com.farmflow.aspect.LoggingAspect - No authenticated user found, falling back to anonymous.
2025-08-26 12:38:00.389 INFO  [http-nio-8080-exec-6] com.farmflow.aspect.LoggingAspect - [2025-08-26 12:38:00] [req-11357414175788-515] [anonymous] [AuthServiceImpl.createUser()] Entering method - Args: [UserDTO(id=0, name=User_983723, email=user983723@example.com, password=password, phone=9000983723, image=null)]
2025-08-26 12:38:00.582 INFO  [http-nio-8080-exec-6] c.farmflow.config.AuditAwareConfig - AuditAwareConfig : getCurrentAuditor()
